UpdatedDateTime,CreateDateTime,Rank,NameTag,Address,Balance,Symbol,Percentage,TxnCount
2021/08/25 00:09,2021/08/25 00:09,1,Eth2 Deposit Contract,0x00000000219ab540356cbb839cbe05303d7705fa,7124994.000069,Ether,6.07733458%,147327,
2021/08/25 00:09,2021/08/25 00:09,2,Wrapped Ether,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6902446.51754913,Ether,5.88751049%,2372161,
2021/08/25 00:09,2021/08/25 00:09,3,Binance 7,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2296896.52725514,Ether,1.95916076%,951,
2021/08/25 00:15,2021/08/25 00:15,4,NoFound,0x73bceb1cd57c711feac4224d062b0f6ff338501e,1969046.654409293881366027,ETH,,0,
2021/08/25 00:09,2021/08/25 00:09,5,Compound: cETH Token,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1567836.3104788,Ether,1.33730159%,240938,
2021/08/25 00:09,2021/08/25 00:09,6,Kraken 6,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,1378734.06632152,Ether,1.17600495%,15001,
2021/08/25 00:15,2021/08/25 00:15,7,NoFound,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,1040000.01021431,ETH,,0,
2021/08/25 00:09,2021/08/25 00:09,8,Gemini 3,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,989498.95358134,Ether,0.84400299%,269,
2021/08/25 00:15,2021/08/25 00:15,9,NoFound,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,700010.760463680861530138,ETH,,0,
2021/08/25 00:09,2021/08/25 00:09,10,Binance 8,0xf977814e90da44bfa03b6295a0616a897441acec,700008.67940783,Ether,0.59707937%,5870,
2021/08/25 00:09,2021/08/25 00:09,11,Huobi 18,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,657334.14269696,Ether,0.56067970%,45,
2021/06/07 20:32,2021/06/07 20:32,12,Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,620566.12249449,Ether,0.53408077%,282573,
2021/08/25 00:09,2021/08/25 00:09,13,Polygon (Matic): Ether Bridge,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,611750.93805844,Ether,0.52179905%,7,
2021/08/25 00:09,2021/08/25 00:09,14,,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,580470.43673863,Ether,0.49511804%,16942,
2021/08/25 00:09,2021/08/25 00:09,15,,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000.000065,Ether,0.47765758%,113,
2021/08/25 00:09,2021/08/25 00:09,16,,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,555881.46128463,Ether,0.47414463%,4,
2021/08/25 00:09,2021/08/25 00:09,17,FTX Exchange 2,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,547132.36189347,Ether,0.46668200%,832070,
2021/08/25 00:09,2021/08/25 00:09,18,Kraken 3,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,465197.59593256,Ether,0.39679492%,220,
2021/08/25 00:09,2021/08/25 00:09,19,,0xe92d1a43df510f82c66382592a047d288f85226f,450000.05008572,Ether,0.38383202%,17,
2021/08/25 00:09,2021/08/25 00:09,20,,0xa929022c9107643515f5c777ce9a910f0d1e490c,411786.512,Ether,0.35123741%,11895,
2021/08/25 00:09,2021/08/25 00:09,21,Bitfinex 2,0x742d35cc6634c0532925a3b844bc454e4438f44e,403334.50004913,Ether,0.34402818%,12784,
2021/08/25 00:09,2021/08/25 00:09,22,Huobi 6,0xdc76cd25977e0a5ae17155770273ad58648900d3,399999.43606047,Ether,0.34118350%,780,
2021/08/25 00:09,2021/08/25 00:09,23,EthDev,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,395868.41278314,Ether,0.33765990%,781,
2021/08/25 00:09,2021/08/25 00:09,24,Gemini: Contract 1,0x07ee55aa48bb72dcc6e9d78256648910de513eca,356241.11148462,Ether,0.30385940%,750,
2021/08/25 00:09,2021/08/25 00:09,25,Vb 3,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,325001.91359528,Ether,0.27721362%,19,
2021/08/25 00:09,2021/08/25 00:09,26,,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,325000.48001707,Ether,0.27721240%,14,
2021/06/04 11:54,2021/06/04 11:54,27,Binance,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,306671.30600904,Ether,0.26403477%,17026281,
2021/08/25 00:10,2021/08/25 00:10,28,Polkadot: MultiSig,0x3bfc20f0b9afcace800d73d2191166ff16540258,306276.62236139,Ether,0.26124169%,144,
2021/08/25 00:10,2021/08/25 00:10,29,,0x0548f59fee79f8832c299e01dca5c76f034f558e,278049.78086399,Ether,0.23716532%,5142,
2021/08/25 00:10,2021/08/25 00:10,30,,0x8103683202aa8da10536036edef04cdd865c225e,275000.02741999,Ether,0.23456400%,6,
2021/08/25 00:10,2021/08/25 00:10,31,Bittrex 3,0x66f820a414680b5bcda5eeca5dea238543f42054,255499.87734972,Ether,0.21793116%,137,
